,Avg. Wages (Annual),Avg. Work Hours (Annual),COU,Confidence in national government,Country,Delivery Quality,Democratic Quality,Freedom to make life choices,GDP (constant 2010 US$),Healthy life expectancy at birth,Happiness Index,Log GDP per capita,Negative affect,Perceptions of corruption,Population density,Positive affect,Probability of dying at age 5-14,Social support,Standard deviation of ladder,Year,Gini household income
69,43715.15615,1575.0,FIN,0.5979415770000001,Finland,2.059122562,1.50073123,0.920968115,250545000000.0,70.87999725,7.420209408,10.59445572,0.201654434,0.360733956,17.81556155,0.7962850929999999,0.0,0.927739382,1.630132437,2012,0.379710972
70,42654.36826,1541.0,FRA,0.44062534,France,1.345152617,0.8965236540000001,0.8413203359999999,2709010000000.0,72.59999847,6.649365425,10.52749729,0.252988011,0.607905269,119.9140728,0.754119575,0.0,0.93709743,1.7945482730000002,2012,0.328147918
71,44006.8491,1531.0,GBR,0.421262175,United Kingdom,1.646371841,0.870701671,0.888970494,2529320000000.0,71.45999908,6.880784035,10.51577282,0.184244528,0.425169915,263.3005415,0.844452202,0.0,0.934574962,1.870208263,2012,0.652187049
72,28108.0392,1966.0,GRC,0.126218989,Greece,0.271006763,0.241770923,0.37261042,252163000000.0,71.62000275,5.0963540080000005,10.10087299,0.351506293,0.958908975,85.68666408,0.580687582,0.0,0.81214112,2.490795374,2012,0.344145775
73,20852.274080000007,1750.0,HUN,0.209778264,Hungary,0.64710778,0.712581217,0.56923151,130922000000.0,65.91999817,4.683358192,10.02491188,0.315398008,0.930297315,109.5809345,0.65190798,0.0,0.906113982,2.094283819,2012,0.310641199
74,48153.35402,1707.0,IRL,0.34587270000000003,Ireland,1.579027534,1.131797075,0.90219456,230820000000.0,71.69999695,6.964645386,10.71382141,0.236661568,0.572632253,66.76633764,0.835201979,0.0,0.961785913,1.870121717,2012,0.470194757
75,48049.69794,1510.0,ISL,0.257335573,Iceland,1.545394659,1.34399128,0.904654503,14121903068.0,72.76000214,7.590660095,10.59492397,0.157153815,0.7585856320000001,3.199162095,0.899718463,0.0,0.978965282,1.569349289,2012,0.40288952
76,33166.65214,1918.77,ISR,0.343569756,Israel,1.074690342,-0.217279762,0.681439221,250536000000.0,72.51999664,7.110854626,10.32817173,0.319231451,0.862327278,365.5499076,0.665101826,0.0,0.903415501,1.7400853630000002,2012,0.28481248
77,37279.12066,1734.2,ITA,0.280694604,Italy,0.410039097,0.712513387,0.570094943,2077060000000.0,72.87999725,5.839313984,10.46958542,0.387652248,0.908323646,202.4196539,0.66976124,0.0,0.86948663,2.1909852030000003,2012,0.369049281
78,40380.39328,1745.0,JPN,0.169178054,Japan,1.386078477,1.024869084,0.752831519,5778640000000.0,74.16000366,5.968216419,10.50143337,0.17147471,0.692387402,350.09052010000005,0.776910841,0.0,0.905295432,1.902083993,2012,0.361155748
79,19671.09994,1620.0,LTU,0.145729542,Lithuania,0.800440192,0.8578597309999999,0.503027141,40870192058.0,64.90000153,5.771037102,10.08786297,0.277385563,0.956959248,47.67165087,0.5809710029999999,0.0,0.918690145,1.846569896,2012,0.310113639
80,60707.10622,1508.0,LUX,0.7436705229999999,Luxembourg,1.840276241,1.490909815,0.916520953,54371319074.0,72.05999756,6.964097023,11.40205193,0.227411717,0.402753204,218.4962963,0.8152487279999999,0.0,0.913907707,1.782285094,2012,0.348903418
81,18272.87632,1738.0,LVA,0.191219807,Latvia,0.721494794,0.614571154,0.563811779,26293015996.0,65.12000275,5.125025272,9.944048882,0.232224524,0.894979358,32.71661306,0.560012877,0.0,0.8511952159999999,1.890645146,2012,0.32179889100000003
82,16050.29823,2120.0,MEX,0.3614088,Mexico,-0.031542644,-0.274854422,0.7877683040000001,1136490000000.0,66.86000061,7.320185184,9.704709053,0.278110534,0.633281112,62.15607757,0.7844792009999999,0.0,0.767279446,2.074157,2012,0.426429868
83,54362.19547000001,1411.0,NLD,0.574513912,Netherlands,1.886309624,1.396525145,0.8771186470000001,850829000000.0,71.63999939,7.470715522999999,10.72351742,0.226289868,0.433753788,496.88499410000014,0.860640585,0.0,0.938884676,1.351189137,2012,0.35245353
84,49465.06851000001,1419.7,NOR,0.663340509,Norway,1.917715073,1.527816534,0.946565866,445095000000.0,72.23999786,7.678277016,11.05094433,0.212821111,0.368042678,13.74033034,0.8227498529999999,0.0,0.947657406,1.746017814,2012,0.31880399600000003
85,39621.7161,1734.0,NZL,0.61469996,New Zealand,1.965111136,1.489543796,0.901853085,154298000000.0,72.23999786,7.2496299739999985,10.41539097,0.20687817,0.28929793800000003,16.74110364,0.866304159,0.0,0.930028617,1.7226243019999998,2012,0.385313541
