Dataset,COU,Country,Year,Description,Value,Unit,Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"GINI index (World Bank estimate), average 2000-16","gini of household income reported in Gallup, by wp5-year","Most people can be trusted, Gallup","Most people can be trusted, WVS round 1981-1984","Most people can be trusted, WVS round 1989-1993","Most people can be trusted, WVS round 1994-1998","Most people can be trusted, WVS round 1999-2004","Most people can be trusted, WVS round 2005-2009","Most people can be trusted, WVS round 2010-2014",GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)"
Avg. Wages (Annual),AUT,Austria,2012,In 2018 constant prices at 2018 USD PPPs,49835.11427,USD,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.302692308,0.323470145,,,,,,,,406092000000.0,30.5,0.0,102.11486540000001,0.0
Mortality Causes,AUT,Austria,2012,All causes of death,79436.0,NBPOPUPC,7.400688647999999,10.70440388,0.9451423879999999,71.68000031,0.919703901,0.11593899099999999,0.770585775,0.8222477440000001,0.15667499599999998,0.376573861,1.39467001,1.586992741,1.7226686480000002,0.232771397,0.302692308,0.323470145,,,,,,,,406092000000.0,30.5,0.0,102.11486540000001,0.0
Avg. Work Hours (Annual),AUT,Austria,2013,Total employment,1525.0,Hours,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1.861462116,0.248234585,0.302692308,0.359079063,,,,,,,,406195000000.0,30.8,0.0,102.7471302,0.0
Avg. Wages (Annual),AUT,Austria,2013,In 2018 constant prices at 2018 USD PPPs,49896.49234,USD,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1.861462116,0.248234585,0.302692308,0.359079063,,,,,,,,406195000000.0,30.8,0.0,102.7471302,0.0
Mortality Causes,AUT,Austria,2013,All causes of death,79526.0,NBPOPUPC,7.498802662,10.6987648,0.9498091940000001,71.81999969,0.921734452,0.166400507,0.6789368990000001,0.787312806,0.162603319,0.417099237,1.410333991,1.620333314,1.861462116,0.248234585,0.302692308,0.359079063,,,,,,,,406195000000.0,30.8,0.0,102.7471302,0.0
Avg. Work Hours (Annual),AUT,Austria,2014,Total employment,1516.0,Hours,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.7796927690000001,0.17014955,0.40769541299999995,1.331010818,1.6218787430000001,1.836291671,0.264214635,0.302692308,0.344870776,,,,,,,,408881000000.0,30.5,0.0,103.56332420000001,0.0
Avg. Wages (Annual),AUT,Austria,2014,In 2018 constant prices at 2018 USD PPPs,50082.84861,USD,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.7796927690000001,0.17014955,0.40769541299999995,1.331010818,1.6218787430000001,1.836291671,0.264214635,0.302692308,0.344870776,,,,,,,,408881000000.0,30.5,0.0,103.56332420000001,0.0
Mortality Causes,AUT,Austria,2014,All causes of death,78252.0,NBPOPUPC,6.9499998089999995,10.69920254,0.8989204759999999,71.95999908,0.8850268720000001,0.11564018599999999,0.566931307,0.7796927690000001,0.17014955,0.40769541299999995,1.331010818,1.6218787430000001,1.836291671,0.264214635,0.302692308,0.344870776,,,,,,,,408881000000.0,30.5,0.0,103.56332420000001,0.0
Avg. Work Hours (Annual),AUT,Austria,2016,Total employment,1512.0,Hours,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1.7044001819999999,0.241825029,0.302692308,0.292294294,,,,,,,,421989000000.0,0.0,0.0,105.86949340000001,0.0
Avg. Wages (Annual),AUT,Austria,2016,In 2018 constant prices at 2018 USD PPPs,50906.020280000004,USD,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1.7044001819999999,0.241825029,0.302692308,0.292294294,,,,,,,,421989000000.0,0.0,0.0,105.86949340000001,0.0
Mortality Causes,AUT,Austria,2016,All causes of death,80669.0,NBPOPUPC,7.048071861,10.70244312,0.9263185859999999,72.40000153,0.888513982,0.078159958,0.52364099,0.755902588,0.19742384600000001,0.43263822799999996,1.12349689,1.579037547,1.7044001819999999,0.241825029,0.302692308,0.292294294,,,,,,,,421989000000.0,0.0,0.0,105.86949340000001,0.0
Avg. Work Hours (Annual),AUT,Austria,2017,Total employment,1511.0,Hours,7.293727875,10.72407532,0.9062178129999999,72.69999695,0.8900305629999999,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.5593127009999999,1.5610619780000001,0.21402800100000002,0.302692308,0.322941631,,,,,,,,432754000000.0,0.0,0.0,106.6074453,0.8
Avg. Wages (Annual),AUT,Austria,2017,In 2018 constant prices at 2018 USD PPPs,50851.39713,USD,7.293727875,10.72407532,0.9062178129999999,72.69999695,0.8900305629999999,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.5593127009999999,1.5610619780000001,0.21402800100000002,0.302692308,0.322941631,,,,,,,,432754000000.0,0.0,0.0,106.6074453,0.8
Mortality Causes,AUT,Austria,2017,All causes of death,83270.0,NBPOPUPC,7.293727875,10.72407532,0.9062178129999999,72.69999695,0.8900305629999999,0.131114438,0.518303812,0.747568727,0.18026872,0.43590793,1.189480543,1.5593127009999999,1.5610619780000001,0.21402800100000002,0.302692308,0.322941631,,,,,,,,432754000000.0,0.0,0.0,106.6074453,0.8
Avg. Work Hours (Annual),BEL,Belgium,2010,Total employment,1546.0,Hours,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582,0.8282585140000001,0.24036432800000002,0.33651647,1.085666656,1.4451680180000002,1.603352189,0.23394599600000002,0.284307692,0.393780649,0.306120813,,,,,,,483548000000.0,28.4,0.0,359.82780710000003,1.0
Avg. Wages (Annual),BEL,Belgium,2010,In 2018 constant prices at 2018 USD PPPs,50872.487,USD,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582,0.8282585140000001,0.24036432800000002,0.33651647,1.085666656,1.4451680180000002,1.603352189,0.23394599600000002,0.284307692,0.393780649,0.306120813,,,,,,,483548000000.0,28.4,0.0,359.82780710000003,1.0
Mortality Causes,BEL,Belgium,2010,All causes of death,105152.0,NBPOPUPC,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582,0.8282585140000001,0.24036432800000002,0.33651647,1.085666656,1.4451680180000002,1.603352189,0.23394599600000002,0.284307692,0.393780649,0.306120813,,,,,,,483548000000.0,28.4,0.0,359.82780710000003,1.0
Avg. Work Hours (Annual),BEL,Belgium,2011,Total employment,1560.0,Hours,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,1.62850821,0.229000822,0.284307692,0.447315395,,,,,,,,492244000000.0,28.1,0.0,364.5397622,0.0
Avg. Wages (Annual),BEL,Belgium,2011,In 2018 constant prices at 2018 USD PPPs,51204.9434,USD,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,1.62850821,0.229000822,0.284307692,0.447315395,,,,,,,,492244000000.0,28.1,0.0,364.5397622,0.0
Mortality Causes,BEL,Belgium,2011,All causes of death,104292.0,NBPOPUPC,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,1.62850821,0.229000822,0.284307692,0.447315395,,,,,,,,492244000000.0,28.1,0.0,364.5397622,0.0
Avg. Work Hours (Annual),BEL,Belgium,2012,Total employment,1560.0,Hours,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.284307692,0.327320158,,,,,,,,493399000000.0,27.5,0.0,366.8075297,0.0
Avg. Wages (Annual),BEL,Belgium,2012,In 2018 constant prices at 2018 USD PPPs,51550.58104,USD,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.284307692,0.327320158,,,,,,,,493399000000.0,27.5,0.0,366.8075297,0.0
Mortality Causes,BEL,Belgium,2012,All causes of death,109076.0,NBPOPUPC,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.284307692,0.327320158,,,,,,,,493399000000.0,27.5,0.0,366.8075297,0.0
Avg. Work Hours (Annual),BEL,Belgium,2013,Total employment,1558.0,Hours,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.797417402,0.21713894600000003,0.554124534,1.156564236,1.502777338,1.5017786030000002,0.21140910699999999,0.284307692,0.330040932,,,,,,,,494389000000.0,27.7,0.0,368.5405218,0.0
Avg. Wages (Annual),BEL,Belgium,2013,In 2018 constant prices at 2018 USD PPPs,52221.578030000004,USD,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.797417402,0.21713894600000003,0.554124534,1.156564236,1.502777338,1.5017786030000002,0.21140910699999999,0.284307692,0.330040932,,,,,,,,494389000000.0,27.7,0.0,368.5405218,0.0
Mortality Causes,BEL,Belgium,2013,All causes of death,109334.0,NBPOPUPC,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.797417402,0.21713894600000003,0.554124534,1.156564236,1.502777338,1.5017786030000002,0.21140910699999999,0.284307692,0.330040932,,,,,,,,494389000000.0,27.7,0.0,368.5405218,0.0
Avg. Work Hours (Annual),BEL,Belgium,2014,Total employment,1545.0,Hours,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.46911162100000003,1.033804297,1.40902257,1.681074142,0.245221511,0.284307692,0.402563632,,,,,,,,500592000000.0,28.1,0.0,370.180218,0.0
Avg. Wages (Annual),BEL,Belgium,2014,In 2018 constant prices at 2018 USD PPPs,52514.32761,USD,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.46911162100000003,1.033804297,1.40902257,1.681074142,0.245221511,0.284307692,0.402563632,,,,,,,,500592000000.0,28.1,0.0,370.180218,0.0
Mortality Causes,BEL,Belgium,2014,All causes of death,104755.0,NBPOPUPC,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.46911162100000003,1.033804297,1.40902257,1.681074142,0.245221511,0.284307692,0.402563632,,,,,,,,500592000000.0,28.1,0.0,370.180218,0.0
Avg. Work Hours (Annual),BEL,Belgium,2016,Total employment,1545.0,Hours,6.948936462000001,10.64741421,0.9289640779999999,71.59999847,0.865759015,-0.058440432,0.49665909999999996,0.764590085,0.259653389,0.41917750200000004,0.909132481,1.4242153169999998,1.497023702,0.215432063,0.284307692,0.34862980200000004,,,,,,,,516766000000.0,0.0,0.0,374.22133419999994,0.0
