COU,Country,Year,Avg. Work Hours (Annual),Avg. Wages (Annual),GDP (constant 2010 US$),Population density (people per sq. km of land area),Life Ladder,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption,Positive affect,Negative affect,Confidence in national government,Democratic Quality,Delivery Quality,Standard deviation of ladder by country-year,Standard deviation/Mean of ladder by country-year,"gini of household income reported in Gallup, by wp5-year"
BEL,Belgium,2010,1546.0,50872.487,483548000000.0,359.82780710000003,6.853514194,10.62342072,0.930570185,70.80000305,0.806930244,0.018612977,0.697365582,0.8282585140000001,0.24036432800000002,0.33651647,1.085666656,1.4451680180000002,1.603352189,0.23394599600000002,0.393780649
BEL,Belgium,2011,1560.0,51204.9434,492244000000.0,364.5397622,7.111363888,10.627375599999999,0.9369554520000001,70.91999817,0.880153596,-0.01785933,0.711043894,0.834544539,0.225056365,0.289129466,1.139849305,1.472870708,1.62850821,0.229000822,0.447315395
BEL,Belgium,2012,1560.0,51550.58104,493399000000.0,366.8075297,6.935122012999999,10.62246037,0.92711705,71.04000092,0.8552666309999999,-0.053328025999999994,0.7575725320000001,0.820485771,0.23827680899999998,0.44011718,1.136510849,1.466563344,1.834067941,0.264460802,0.327320158
BEL,Belgium,2013,1558.0,52221.578030000004,494389000000.0,368.5405218,7.10366106,10.61957264,0.9091861840000001,71.16000366,0.8907110690000001,0.013638751000000001,0.573664308,0.797417402,0.21713894600000003,0.554124534,1.156564236,1.502777338,1.5017786030000002,0.21140910699999999,0.330040932
BEL,Belgium,2014,1545.0,52514.32761,500592000000.0,370.180218,6.855329037000001,10.63007927,0.9435491559999999,71.27999878,0.86095351,-0.001687139,0.511975765,0.797633767,0.251557052,0.46911162100000003,1.033804297,1.40902257,1.681074142,0.245221511,0.402563632
BEL,Belgium,2016,1545.0,51951.715,516766000000.0,374.22133419999994,6.948936462000001,10.64741421,0.9289640779999999,71.59999847,0.865759015,-0.058440432,0.49665909999999996,0.764590085,0.259653389,0.41917750200000004,0.909132481,1.4242153169999998,1.497023702,0.215432063,0.34862980200000004
BEL,Belgium,2017,1545.0,51736.09972,525514000000.0,375.9046565,6.928347587999999,10.66098404,0.921639085,71.80000305,0.856801987,0.051760148,0.5430460570000001,0.786367595,0.23359769600000002,0.449731916,0.904255331,1.316667318,1.510013223,0.217947096,0.35437384200000005
CAN,Canada,2010,1715.0,45502.56024,1613460000000.0,3.7395102660000004,7.650346279,10.6139679,0.9537654520000001,72.19999695,0.933948815,0.22300235899999998,0.412659585,0.878867686,0.23311285699999998,0.551076472,1.14445734,1.838643909,1.749785304,0.22871975600000002,0.710133135
CAN,Canada,2011,1713.0,46203.40255,1664150000000.0,3.7766253069999998,7.426053523999999,10.63502026,0.921669245,72.36000061,0.9509252909999999,0.245647863,0.432991534,0.88138485,0.24772866100000002,0.553290546,1.228660107,1.795956492,1.8194556240000002,0.245009765,0.9614353179999999
CAN,Canada,2012,1722.0,47275.53082,1693190000000.0,3.821466628,7.415144444,10.64052105,0.9481283429999999,72.51999664,0.9179611209999999,0.28257176300000003,0.46560183200000005,0.8567036990000001,0.229332089,0.523448169,1.275260806,1.792761922,1.77270925,0.23906604899999997,0.884413838
CAN,Canada,2013,1716.0,48191.59919,1735100000000.0,3.865654736,7.593793869,10.6534729,0.936239362,72.68000031,0.9160138959999999,0.308129936,0.406236142,0.8512969020000001,0.262850314,0.505976021,1.257454157,1.79271102,1.658059239,0.21834398800000002,0.552203357
CAN,Canada,2014,1710.0,48717.527760000004,1784650000000.0,3.907770267,7.30425787,10.67079449,0.9178363079999999,72.83999634,0.93889761,0.262353837,0.441735327,0.833403885,0.25860241100000003,0.516953588,1.293931961,1.8331633809999999,1.759425759,0.24087673399999998,0.6790111059999999
CAN,Canada,2016,1706.0,47793.36844,1828000000000.0,3.987965483,7.244845867,10.67448139,0.9243925209999999,73.19999695,0.912423909,0.203222767,0.385090441,0.824586391,0.23742286899999998,0.618195295,1.351965904,1.837898731,1.7764630319999999,0.245203704,0.606446326
CAN,Canada,2017,1695.0,48247.09108,1883710000000.0,4.03673422,7.414868355,10.69234467,0.93374896,73.40000153,0.9451450109999999,0.155016169,0.362034321,0.8627734779999999,0.21798116,0.652735949,1.2952837940000002,1.8665276769999999,1.603363752,0.21623630800000002,0.601348937
CZE,Czech Republic,2010,1800.0,22944.4926,207478000000.0,135.6086225,6.249617577,10.25248623,0.934161127,68.09999847,0.77911222,-0.043541737000000004,0.925964117,0.641369283,0.244084343,0.334044516,1.002025723,0.87146008,1.8815426830000002,0.301065236,0.26753065
CZE,Czech Republic,2011,1806.0,23101.99456,211166000000.0,135.8892802,6.331490992999999,10.26804066,0.91351074,68.23999786,0.787180007,-0.10824278,0.949787855,0.600925982,0.252808869,0.206286699,1.065891027,0.877707362,1.9321316480000001,0.305162191,0.269167125
CZE,Czech Republic,2012,1776.0,23089.6502,209477000000.0,136.0971773,6.334149361000001,10.25861073,0.91242677,68.37999725,0.739808738,-0.155507952,0.956799686,0.609040797,0.256508142,0.169811338,1.012242913,0.825533271,2.028648853,0.320271701,0.288669348
CZE,Czech Republic,2013,1763.0,22846.099459999998,208464000000.0,136.15995859999998,6.697655677999999,10.25343132,0.8880433440000001,68.51999664,0.725945652,-0.15745765,0.91589886,0.719957829,0.252652615,0.24254262399999998,1.034656048,0.8114690179999999,1.9995489119999998,0.298544586,0.293449998
CZE,Czech Republic,2014,1777.0,23324.261319999998,214124000000.0,136.30338,6.4837298389999996,10.27916718,0.877915204,68.66000366,0.800421,-0.169764236,0.8968806859999999,0.6784069540000001,0.23522056600000002,0.339732826,1.008328915,0.885882437,2.031708002,0.31335482,0.24481281600000002
CZE,Czech Republic,2016,1779.0,24778.2455,231018000000.0,136.8341362,6.735627173999999,10.3526144,0.930592895,69.30000305,0.8503282670000001,-0.199620038,0.900430739,0.755701959,0.201041639,0.415120721,1.000417948,0.9032307270000001,1.682170749,0.249742255,0.29053387
CZE,Czech Republic,2017,1784.0,25804.10436,241074000000.0,137.1981093,6.789567947,10.39224911,0.900968969,69.80000305,0.8317855,-0.178765178,0.866524994,0.738743961,0.22664979100000002,0.343870819,0.99339664,0.985034347,1.697134495,0.249962077,0.282945663
DNK,Denmark,2010,1422.0,52263.8567,321995000000.0,130.74906909999999,7.770515442000001,10.69190979,0.9749770759999999,70.40000153,0.943630815,0.23789697899999998,0.174896091,0.7848266359999999,0.154562935,0.586689413,1.291459084,2.057426929,1.5172172780000002,0.19525310399999998,0.434082836
DNK,Denmark,2011,1437.0,51993.258839999995,326300000000.0,131.2885223,7.78823185,10.70107079,0.961736143,70.62000275,0.9347601529999999,0.292957395,0.220043078,0.7694360020000001,0.174883381,0.471823335,1.325999975,2.083353519,1.500663996,0.19268353300000002,0.61589241
DNK,Denmark,2012,1423.0,51923.10356,327039000000.0,133.1643725,7.519909382000001,10.69957066,0.951437175,70.83999634,0.932627916,0.13419172199999999,0.187407613,0.7737635970000001,0.20856951199999998,0.534252763,1.29451251,2.01157999,1.702373385,0.22638216600000002,0.365274489
DNK,Denmark,2013,1426.0,52260.70461,330091000000.0,133.7206954,7.588606834,10.70469189,0.9647079709999999,71.05999756,0.920254648,0.210207686,0.170042172,0.862346828,0.19467379199999998,0.391405106,1.312752008,2.026952028,1.721857905,0.22690039899999997,0.38676554
DNK,Denmark,2014,1414.0,53260.744060000005,335436000000.0,134.4004525,7.5075592989999995,10.71568489,0.956344306,71.27999878,0.941572249,0.11341865400000001,0.237218335,0.8324829340000001,0.232612774,0.457836896,1.238178492,1.962424636,1.669512272,0.22237749399999998,0.46938821700000005
DNK,Denmark,2016,1412.0,55032.34644,351532000000.0,136.4136699,7.55778265,10.73620605,0.954451501,71.80000305,0.948230565,0.134531945,0.20989337600000002,0.836115718,0.207583427,0.467660695,1.204600453,1.898684382,1.611469865,0.213219926,0.50498873
DNK,Denmark,2017,1405.0,54722.5035,359485000000.0,137.2941176,7.593702316,10.75112534,0.952100098,72.09999847,0.955416322,0.152028441,0.18114756,0.8236674070000001,0.20577530600000002,0.572353303,1.1904433970000001,1.868862629,1.66807425,0.219665483,0.630812943
FIN,Finland,2010,1592.0,43535.17087,247800000000.0,17.64841066,7.393264294,10.59283066,0.935481369,70.40000153,0.916009128,0.086498298,0.41251570000000004,0.832108617,0.20209465899999998,0.46184361,1.4551599030000002,2.0583732130000003,1.6717381480000002,0.22611637399999998,0.403238714
FIN,Finland,2011,1587.0,43684.94029,254170000000.0,17.73099477,7.354225158999999,10.6135788,0.937856853,70.63999939,0.936448395,0.096755996,0.319593191,0.772944152,0.20523864,0.565402389,1.4505112169999999,2.052244186,1.613047361,0.219336137,0.458035171
FIN,Finland,2012,1575.0,43715.15615,250545000000.0,17.81556155,7.420209408,10.59445572,0.9277393820000001,70.87999725,0.920968115,-0.00570858,0.360733956,0.7962850929999999,0.201654434,0.5979415770000001,1.50073123,2.0591225619999998,1.6301324369999999,0.219688192,0.37971097200000004
FIN,Finland,2013,1565.0,43245.26697,248646000000.0,17.89783145,7.444635868,10.58223915,0.940869093,71.12000275,0.918625355,0.034851782000000005,0.305770457,0.7689573759999999,0.194672555,0.42059373899999997,1.47943902,2.041153908,1.56188035,0.20979942399999998,0.412970424
FIN,Finland,2014,1562.0,43229.09351,247075000000.0,17.97200303,7.384571075,10.57176685,0.952016532,71.36000061,0.933043957,-0.005278334,0.265479892,0.7841095920000001,0.198813885,0.468558848,1.412057161,2.037089586,1.608321071,0.21779479100000002,0.429592639
FIN,Finland,2016,1560.0,43968.93163,255195000000.0,18.08200783,7.659843445,10.58807755,0.9539404509999999,71.69999695,0.948372185,-0.030627485,0.249659568,0.797325075,0.18199844699999998,0.485727251,1.2653723959999998,1.975339055,1.479018688,0.193087325,0.39482122700000005
FIN,Finland,2017,1556.0,43801.86904,261965000000.0,18.1244908,7.788251877,10.61117172,0.963826418,71.80000305,0.962198973,-0.005695975,0.19241277899999998,0.787137091,0.176065788,0.59753859,1.311007023,1.999899864,1.4163982869999998,0.181863442,0.42561444600000004
FRA,France,2010,1540.0,42435.38246,2642610000000.0,118.75934,6.797901154,10.51476955,0.942954779,72.19999695,0.8497021790000001,-0.108059548,0.622954249,0.789724112,0.260568112,0.401466221,0.941972136,1.432198048,1.757904291,0.258595139,0.362922639
FRA,France,2011,1546.0,42370.29756,2700550000000.0,119.33511200000001,6.959185122999999,10.53051186,0.92128557,72.40000153,0.903366625,-0.106961221,0.626624525,0.780809402,0.28099477300000003,0.375089258,0.8868305679999999,1.374962091,1.681088209,0.241563946,0.45064759299999996
FRA,France,2012,1541.0,42654.36826,2709010000000.0,119.91407279999999,6.649365425,10.52749729,0.93709743,72.59999847,0.8413203359999999,-0.153478965,0.607905269,0.754119575,0.252988011,0.44062534,0.8965236540000001,1.3451526169999999,1.7945482730000002,0.269882649,0.328147918
FRA,France,2013,1526.0,43012.54154,2724620000000.0,120.5329508,6.66712141,10.52809525,0.9076908229999999,72.80000305,0.8777957559999999,-0.12892994300000002,0.6990693809999999,0.8001360890000001,0.20496968899999998,0.395130515,0.833995342,1.3488167519999998,1.922264218,0.288319975,0.341182142
FRA,France,2014,1518.0,43308.84587,2750680000000.0,121.1126749,6.466867924,10.53272915,0.877504528,73.0,0.8034741879999999,-0.122516043,0.6556374429999999,0.8110544679999999,0.215893835,0.26380172399999996,0.759364009,1.317823052,1.853521585,0.286618143,0.432021111
FRA,France,2016,1526.0,44220.25463,2813860000000.0,122.10558710000001,6.475208759,10.54698849,0.884922922,73.40000153,0.786780477,-0.095642865,0.622697055,0.772661328,0.27003625,0.283978164,0.520080805,1.3222753999999999,1.8015296459999999,0.278219551,0.340985149
FRA,France,2017,1522.0,44469.020580000004,2874670000000.0,122.55438970000002,6.635222435,10.56115437,0.931494594,73.59999847,0.83389014,-0.127377018,0.601486027,0.762097776,0.241983935,0.37479353,0.67997849,1.301757574,1.631064415,0.24581910699999998,0.37285524600000003
DEU,Germany,2010,1389.9,44451.21699,3417090000000.0,234.6069082,6.724531174,10.60729599,0.9393086429999999,70.90000153,0.842656434,0.091027394,0.688005984,0.793705821,0.182344139,0.395424008,1.047308922,1.637933135,1.861712337,0.276853859,0.465919226
