COU,Country,GDP (constant 2010 US$),GINI index (World Bank estimate),"Literacy rate, adult total (% of people ages 15 and above)",Population density (people per sq. km of land area),"Probability of dying at age 5-14 years (per 1,000 children age 5)",Year
MDG,Madagascar,8729936136.0,42.4,0.0,36.3717715,16.5,2010
MDV,Maldives,2588176055.0,0.0,0.0,1215.036667,3.3,2010
MEX,Mexico,1057800000000.0,45.3,93.06893921,60.35080172,2.8,2010
MHL,Marshall Islands,164969100.0,0.0,0.0,291.25,6.8,2010
MKD,North Macedonia,9407168702.0,40.2,0.0,82.10701824,1.5,2010
MLI,Mali,10678749467.0,0.0,31.09975052,12.35470296,27.7,2010
MLT,Malta,8741059603.0,29.0,0.0,1295.3375,1.0,2010
MMR,Myanmar,49540813342.0,0.0,0.0,76.77784649,10.2,2010
MNE,Montenegro,4139192053.0,28.9,0.0,46.05412639,1.4,2010
MNG,Mongolia,7189481824.0,33.1,98.25700378,1.746086408,4.4,2010
MNP,Northern Mariana Islands,799000000.0,0.0,0.0,118.3130435,0.0,2010
MOZ,Mozambique,10154238250.0,0.0,0.0,30.80114576,20.1,2010
MRT,Mauritania,4337791007.0,0.0,0.0,3.502030659,13.3,2010
MUS,Mauritius,10003670690.0,0.0,0.0,615.9605911,2.2,2010
MWI,Malawi,6959655571.0,45.5,61.30971909,160.87287869999997,17.1,2010
MYS,Malaysia,255017000000.0,0.0,93.11788940000001,85.56472074,2.6,2010
NAM,Namibia,11282192605.0,0.0,0.0,2.63961666,13.3,2010
NCL,New Caledonia,0.0,0.0,0.0,13.66247265,0.0,2010
NER,Niger,5718664505.0,0.0,0.0,12.96722034,46.9,2010
NGA,Nigeria,363360000000.0,0.0,0.0,174.1144976,24.7,2010
NIC,Nicaragua,8758622329.0,0.0,0.0,47.67926708,4.5,2010
NLD,Netherlands,846555000000.0,27.8,0.0,492.59988139999996,0.9,2010
NOR,Norway,429131000000.0,25.7,0.0,13.38626291,0.9,2010
NPL,Nepal,16002656434.0,32.8,0.0,188.511594,7.7,2010
NRU,Nauru,49248810.57,0.0,0.0,501.25,6.8,2010
NZL,New Zealand,146584000000.0,0.0,0.0,16.52310964,1.2,2010
OMN,Oman,58642392718.0,0.0,86.93900299,9.827011309,2.4,2010
PAK,Pakistan,177407000000.0,29.8,55.37519073,221.25386830000002,11.1,2010
PAN,Panama,29440287600.0,51.6,94.09411621,49.00755986,3.5,2010
PER,Peru,147529000000.0,45.5,0.0,22.94816094,4.3,2010
PHL,Philippines,199591000000.0,0.0,0.0,314.33955130000004,7.6,2010
PLW,Palau,182863000.0,0.0,0.0,44.5,4.0,2010
PNG,Papua New Guinea,14250726290.0,0.0,61.59999847,15.69632778,10.5,2010
POL,Poland,479258000000.0,33.2,0.0,124.2092007,1.4,2010
PRI,Puerto Rico,98381300000.0,0.0,91.96523285,419.56313420000004,0.0,2010
PRT,Portugal,238303000000.0,35.8,0.0,115.4394585,1.2,2010
PRY,Paraguay,27215968616.0,51.0,93.87091827,15.63019633,3.9,2010
PSE,West Bank and Gaza,8913100000.0,35.3,94.93200684,633.0734219,3.9,2010
PYF,French Polynesia,0.0,0.0,0.0,73.17486339,0.0,2010
QAT,Qatar,125122000000.0,0.0,0.0,153.2881998,2.2,2010
ROU,Romania,166225000000.0,35.5,0.0,88.01074114,2.5,2010
RWA,Rwanda,5773084568.0,47.2,65.85227203,415.35638430000006,20.2,2010
SAU,Saudi Arabia,528207000000.0,0.0,0.0,12.75796789,2.4,2010
SDN,Sudan,65634109237.0,0.0,0.0,19.43239057,12.0,2010
SEN,Senegal,16215069256.0,0.0,0.0,67.08683841,20.9,2010
SGP,Singapore,236422000000.0,0.0,95.85733032,7231.81228,0.9,2010
SLB,Solomon Islands,681151193.5,0.0,0.0,18.85637728,4.9,2010
